t, dist, e_dist, dist_err, input, output, error
0.018600, 3.601547, 185.949785, -182.348238, -1.570796, 0.997590, -2.568386, 
0.018700, 3.557680, 184.268743, -180.711063, -1.570796, 0.997055, -2.567851, 
0.018800, 3.513252, 182.616520, -179.103268, -1.570796, 0.996517, -2.567313, 
0.018900, 3.468268, 180.992388, -177.524119, -1.570796, 0.995977, -2.566773, 
0.019000, 3.422737, 179.395639, -175.972902, -1.570796, 0.995433, -2.566229, 
0.019100, 3.376666, 177.825583, -174.448917, -1.570796, 0.994886, -2.565682, 
0.019200, 3.330061, 176.281547, -172.951486, -1.570796, 0.994337, -2.565133, 
0.019300, 3.282931, 174.762873, -171.479943, -1.570796, 0.993785, -2.564581, 
0.019400, 3.235282, 173.268923, -170.033641, -1.570796, 0.993230, -2.564026, 
0.019500, 3.187122, 171.799071, -168.611949, -1.570796, 0.992672, -2.563468, 
0.019600, 3.138459, 170.352709, -167.214250, -1.570796, 0.992111, -2.562907, 
0.019700, 3.089300, 168.929244, -165.839943, -1.570796, 0.991548, -2.562344, 
0.019800, 3.039654, 167.528096, -164.488443, -1.570796, 0.990981, -2.561777, 
0.019900, 2.989527, 166.148703, -163.159176, -1.570796, 0.990412, -2.561208, 
0.020000, 2.938928, 164.790514, -161.851586, -1.570796, 0.989839, -2.560635, 
0.020100, 2.887866, 163.452993, -160.565127, -1.570796, 0.989264, -2.560060, 
0.020200, 2.836347, 162.135616, -159.299269, -1.570796, 0.988686, -2.559482, 
0.020300, 2.784380, 160.837874, -158.053494, -1.570796, 0.988105, -2.558901, 
0.020400, 2.731974, 159.559271, -156.827297, -1.570796, 0.987521, -2.558317, 
0.020500, 2.679136, 158.299320, -155.620184, -1.570796, 0.986935, -2.557731, 
0.020600, 2.625875, 157.057550, -154.431674, -1.570796, 0.986345, -2.557141, 
0.020700, 2.572200, 155.833499, -153.261299, -1.570796, 0.985753, -2.556549, 
0.020800, 2.518118, 154.626719, -152.108601, -1.570796, 0.985158, -2.555954, 
0.020900, 2.463639, 153.436772, -150.973133, -1.570796, 0.984559, -2.555355, 
0.021000, 2.408771, 152.263229, -149.854459, -1.570796, 0.983958, -2.554754, 
0.021100, 2.353522, 151.105676, -148.752154, -1.570796, 0.983355, -2.554151, 
0.021200, 2.297902, 149.963705, -147.665803, -1.570796, 0.982748, -2.553544, 
0.021300, 2.241919, 148.836921, -146.595002, -1.570796, 0.982138, -2.552934, 
0.021400, 2.185581, 147.724937, -145.539356, -1.570796, 0.981526, -2.552322, 
0.021500, 2.128899, 146.627378, -144.498479, -1.570796, 0.980910, -2.551706, 
0.021600, 2.071880, 145.543875, -143.471995, -1.570796, 0.980292, -2.551088, 
0.021700, 2.014535, 144.474073, -142.459538, -1.570796, 0.979671, -2.550467, 
0.021800, 1.956871, 143.417620, -141.460749, -1.570796, 0.979047, -2.549843, 
0.021900, 1.898898, 142.374178, -140.475280, -1.570796, 0.978420, -2.549216, 
0.022000, 1.840625, 141.343414, -139.502789, -1.570796, 0.977790, -2.548586, 
0.022100, 1.782062, 140.325006, -138.542944, -1.570796, 0.977158, -2.547954, 
0.022200, 1.723217, 139.318637, -137.595419, -1.570796, 0.976522, -2.547318, 
0.022300, 1.664100, 138.324000, -136.659899, -1.570796, 0.975884, -2.546680, 
0.022400, 1.604721, 137.340795, -135.736074, -1.570796, 0.975243, -2.546039, 
0.022500, 1.545088, 136.368731, -134.823643, -1.570796, 0.974599, -2.545395, 
0.022600, 1.485211, 135.407521, -133.922310, -1.570796, 0.973952, -2.544748, 
0.022700, 1.425099, 134.456889, -133.031789, -1.570796, 0.973302, -2.544098, 
0.022800, 1.364763, 133.516562, -132.151800, -1.570796, 0.972649, -2.543445, 
0.022900, 1.304210, 132.586277, -131.282067, -1.570796, 0.971993, -2.542789, 
0.023000, 1.243452, 131.665777, -130.422325, -1.570796, 0.971335, -2.542131, 
0.023100, 1.182498, 130.754810, -129.572312, -1.570796, 0.970674, -2.541470, 
0.023200, 1.121357, 129.853130, -128.731773, -1.570796, 0.970009, -2.540805, 
0.023300, 1.060039, 128.960500, -127.900461, -1.570796, 0.969342, -2.540138, 
0.023400, 0.998553, 128.076686, -127.078133, -1.570796, 0.968672, -2.539468, 
0.023500, 0.936910, 127.201462, -126.264552, -1.570796, 0.968000, -2.538796, 
